,CountryCode,CountryName,Quarters,Year,value,YQ,date
82,BEL,Belgium,Q1,2022,"-3,052",2022-Q1,01/01/2022
83,BEL,Belgium,Q1,2013,"-6,348",2013-Q1,01/01/2013
84,BEL,Belgium,Q1,2014,"23,589",2014-Q1,01/01/2014
85,BEL,Belgium,Q1,2015,"2,348",2015-Q1,01/01/2015
86,BEL,Belgium,Q1,2016,"11,047",2016-Q1,01/01/2016
87,BEL,Belgium,Q1,2017,299,2017-Q1,01/01/2017
88,BEL,Belgium,Q1,2018,908,2018-Q1,01/01/2018
89,BEL,Belgium,Q1,2019,"-7,523",2019-Q1,01/01/2019
90,BEL,Belgium,Q1,2020,"5,581",2020-Q1,01/01/2020
91,BEL,Belgium,Q1,2021,"2,117",2021-Q1,01/01/2021
92,BEL,Belgium,Q2,2022,"-4,823",2022-Q2,01/04/2022
93,BEL,Belgium,Q2,2013,"-7,149",2013-Q2,01/04/2013
94,BEL,Belgium,Q2,2014,"-7,097",2014-Q2,01/04/2014
95,BEL,Belgium,Q2,2015,"-28,515",2015-Q2,01/04/2015
96,BEL,Belgium,Q2,2016,"-11,002",2016-Q2,01/04/2016
97,BEL,Belgium,Q2,2017,"-17,981",2017-Q2,01/04/2017
98,BEL,Belgium,Q2,2018,"-10,155",2018-Q2,01/04/2018
99,BEL,Belgium,Q2,2019,"-30,854",2019-Q2,01/04/2019
100,BEL,Belgium,Q2,2020,"-23,250",2020-Q2,01/04/2020
101,BEL,Belgium,Q2,2021,"-9,681",2021-Q2,01/04/2021
102,BEL,Belgium,Q3,2013,"-17,321",2013-Q3,01/07/2013
103,BEL,Belgium,Q3,2014,"6,395",2014-Q3,01/07/2014
104,BEL,Belgium,Q3,2015,"16,403",2015-Q3,01/07/2015
105,BEL,Belgium,Q3,2016,"13,613",2016-Q3,01/07/2016
106,BEL,Belgium,Q3,2017,"5,946",2017-Q3,01/07/2017
107,BEL,Belgium,Q3,2018,"9,248",2018-Q3,01/07/2018
108,BEL,Belgium,Q3,2019,"20,694",2019-Q3,01/07/2019
109,BEL,Belgium,Q3,2020,"12,073",2020-Q3,01/07/2020
110,BEL,Belgium,Q3,2021,"-2,688",2021-Q3,01/07/2021
111,BEL,Belgium,Q4,2013,"25,066",2013-Q4,01/10/2013
112,BEL,Belgium,Q4,2014,"9,193",2014-Q4,01/10/2014
113,BEL,Belgium,Q4,2015,"-14,246",2015-Q4,01/10/2015
114,BEL,Belgium,Q4,2016,"54,523",2016-Q4,01/10/2016
115,BEL,Belgium,Q4,2017,"8,679",2017-Q4,01/10/2017
116,BEL,Belgium,Q4,2018,"27,118",2018-Q4,01/10/2018
117,BEL,Belgium,Q4,2019,"29,544",2019-Q4,01/10/2019
118,BEL,Belgium,Q4,2020,"12,389",2020-Q4,01/10/2020
119,BEL,Belgium,Q4,2021,"21,835",2021-Q4,01/10/2021
120,CAN,Canada,Q1,2022,"15,773",2022-Q1,01/01/2022
121,CAN,Canada,Q1,2013,"20,485",2013-Q1,01/01/2013
122,CAN,Canada,Q1,2014,"13,914",2014-Q1,01/01/2014
123,CAN,Canada,Q1,2015,"5,576",2015-Q1,01/01/2015
124,CAN,Canada,Q1,2016,"6,260",2016-Q1,01/01/2016
125,CAN,Canada,Q1,2017,"5,484",2017-Q1,01/01/2017
126,CAN,Canada,Q1,2018,"11,560",2018-Q1,01/01/2018
127,CAN,Canada,Q1,2019,"9,317",2019-Q1,01/01/2019
128,CAN,Canada,Q1,2020,"8,595",2020-Q1,01/01/2020
129,CAN,Canada,Q1,2021,"21,607",2021-Q1,01/01/2021
130,CAN,Canada,Q2,2022,"17,235",2022-Q2,01/04/2022
131,CAN,Canada,Q2,2013,"21,775",2013-Q2,01/04/2013
132,CAN,Canada,Q2,2014,"12,102",2014-Q2,01/04/2014
133,CAN,Canada,Q2,2015,"18,222",2015-Q2,01/04/2015
134,CAN,Canada,Q2,2016,"11,174",2016-Q2,01/04/2016
135,CAN,Canada,Q2,2017,"3,729",2017-Q2,01/04/2017
136,CAN,Canada,Q2,2018,"6,298",2018-Q2,01/04/2018
137,CAN,Canada,Q2,2019,"16,311",2019-Q2,01/04/2019
138,CAN,Canada,Q2,2020,"7,855",2020-Q2,01/04/2020
139,CAN,Canada,Q2,2021,"9,601",2021-Q2,01/04/2021
140,CAN,Canada,Q3,2013,"12,207",2013-Q3,01/07/2013
141,CAN,Canada,Q3,2014,"14,280",2014-Q3,01/07/2014
142,CAN,Canada,Q3,2015,"15,428",2015-Q3,01/07/2015
143,CAN,Canada,Q3,2016,"7,784",2016-Q3,01/07/2016
144,CAN,Canada,Q3,2017,"7,544",2017-Q3,01/07/2017
145,CAN,Canada,Q3,2018,"9,387",2018-Q3,01/07/2018
146,CAN,Canada,Q3,2019,"12,867",2019-Q3,01/07/2019
147,CAN,Canada,Q3,2020,"7,527",2020-Q3,01/07/2020
148,CAN,Canada,Q3,2021,"16,363",2021-Q3,01/07/2021
149,CAN,Canada,Q4,2013,"14,904",2013-Q4,01/10/2013
150,CAN,Canada,Q4,2014,"18,712",2014-Q4,01/10/2014
151,CAN,Canada,Q4,2015,"4,627",2015-Q4,01/10/2015
152,CAN,Canada,Q4,2016,"10,843",2016-Q4,01/10/2016
153,CAN,Canada,Q4,2017,"6,007",2017-Q4,01/10/2017
154,CAN,Canada,Q4,2018,"10,408",2018-Q4,01/10/2018
155,CAN,Canada,Q4,2019,"11,646",2019-Q4,01/10/2019
156,CAN,Canada,Q4,2020,-802,2020-Q4,01/10/2020
157,CAN,Canada,Q4,2021,"12,672",2021-Q4,01/10/2021
158,CHL,Chile,Q1,2022,"5,072",2022-Q1,01/01/2022
159,CHL,Chile,Q1,2013,"7,039",2013-Q1,01/01/2013
160,CHL,Chile,Q1,2014,"5,531",2014-Q1,01/01/2014
161,CHL,Chile,Q1,2015,"1,490",2015-Q1,01/01/2015
162,CHL,Chile,Q1,2016,"3,839",2016-Q1,01/01/2016
163,CHL,Chile,Q1,2017,"2,130",2017-Q1,01/01/2017
164,CHL,Chile,Q1,2018,"5,929",2018-Q1,01/01/2018
165,CHL,Chile,Q1,2019,"2,796",2019-Q1,01/01/2019
166,CHL,Chile,Q1,2020,"6,451",2020-Q1,01/01/2020
167,CHL,Chile,Q1,2021,"7,498",2021-Q1,01/01/2021
168,CHL,Chile,Q2,2022,"6,345",2022-Q2,01/04/2022
169,CHL,Chile,Q2,2013,"5,457",2013-Q2,01/04/2013
170,CHL,Chile,Q2,2014,"3,489",2014-Q2,01/04/2014
171,CHL,Chile,Q2,2015,"4,392",2015-Q2,01/04/2015
172,CHL,Chile,Q2,2016,"2,838",2016-Q2,01/04/2016
173,CHL,Chile,Q2,2017,"1,484",2017-Q2,01/04/2017
174,CHL,Chile,Q2,2018,"3,207",2018-Q2,01/04/2018
175,CHL,Chile,Q2,2019,"4,818",2019-Q2,01/04/2019
176,CHL,Chile,Q2,2020,"2,487",2020-Q2,01/04/2020
177,CHL,Chile,Q2,2021,"4,300",2021-Q2,01/04/2021
178,CHL,Chile,Q3,2013,"6,756",2013-Q3,01/07/2013
179,CHL,Chile,Q3,2014,"7,819",2014-Q3,01/07/2014
180,CHL,Chile,Q3,2015,"9,804",2015-Q3,01/07/2015
181,CHL,Chile,Q3,2016,"2,510",2016-Q3,01/07/2016
182,CHL,Chile,Q3,2017,"1,858",2017-Q3,01/07/2017
183,CHL,Chile,Q3,2018,"2,492",2018-Q3,01/07/2018
184,CHL,Chile,Q3,2019,"4,863",2019-Q3,01/07/2019
185,CHL,Chile,Q3,2020,21,2020-Q3,01/07/2020
186,CHL,Chile,Q3,2021,"2,982",2021-Q3,01/07/2021
187,CHL,Chile,Q4,2013,"7,051",2013-Q4,01/10/2013
188,CHL,Chile,Q4,2014,"8,726",2014-Q4,01/10/2014
189,CHL,Chile,Q4,2015,"4,078",2015-Q4,01/10/2015
190,CHL,Chile,Q4,2016,"1,336",2016-Q4,01/10/2016
191,CHL,Chile,Q4,2017,"1,222",2017-Q4,01/10/2017
192,CHL,Chile,Q4,2018,"1,403",2018-Q4,01/10/2018
193,CHL,Chile,Q4,2019,"1,927",2019-Q4,01/10/2019
194,CHL,Chile,Q4,2020,-98,2020-Q4,01/10/2020
195,CHL,Chile,Q4,2021,-591,2021-Q4,01/10/2021
196,COL,Colombia2,Q1,2022,"5,072",2022-Q1,01/01/2022
197,COL,Colombia2,Q1,2013,"3,670",2013-Q1,01/01/2013
198,COL,Colombia2,Q1,2014,"3,790",2014-Q1,01/01/2014
199,COL,Colombia2,Q1,2015,"3,249",2015-Q1,01/01/2015
200,COL,Colombia2,Q1,2016,"4,681",2016-Q1,01/01/2016
201,COL,Colombia2,Q1,2017,"2,459",2017-Q1,01/01/2017
202,COL,Colombia2,Q1,2018,"1,982",2018-Q1,01/01/2018
203,COL,Colombia2,Q1,2019,"3,394",2019-Q1,01/01/2019
204,COL,Colombia2,Q1,2020,"3,175",2020-Q1,01/01/2020
205,COL,Colombia2,Q1,2021,"2,333",2021-Q1,01/01/2021
206,COL,Colombia2,Q2,2022,"4,773",2022-Q2,01/04/2022
207,COL,Colombia2,Q2,2013,"4,015",2013-Q2,01/04/2013
208,COL,Colombia2,Q2,2014,"4,945",2014-Q2,01/04/2014
209,COL,Colombia2,Q2,2015,"4,068",2015-Q2,01/04/2015
210,COL,Colombia2,Q2,2016,"3,657",2016-Q2,01/04/2016
211,COL,Colombia2,Q2,2017,"2,492",2017-Q2,01/04/2017
212,COL,Colombia2,Q2,2018,"3,773",2018-Q2,01/04/2018
213,COL,Colombia2,Q2,2019,"4,090",2019-Q2,01/04/2019
214,COL,Colombia2,Q2,2020,"1,371",2020-Q2,01/04/2020
215,COL,Colombia2,Q2,2021,"2,023",2021-Q2,01/04/2021
216,COL,Colombia2,Q3,2013,"4,713",2013-Q3,01/07/2013
217,COL,Colombia2,Q3,2014,"3,673",2014-Q3,01/07/2014
218,COL,Colombia2,Q3,2015,"2,197",2015-Q3,01/07/2015
219,COL,Colombia2,Q3,2016,"2,244",2016-Q3,01/07/2016
220,COL,Colombia2,Q3,2017,"4,957",2017-Q3,01/07/2017
221,COL,Colombia2,Q3,2018,"2,704",2018-Q3,01/07/2018
222,COL,Colombia2,Q3,2019,"3,163",2019-Q3,01/07/2019
223,COL,Colombia2,Q3,2020,844,2020-Q3,01/07/2020
224,COL,Colombia2,Q3,2021,"2,788",2021-Q3,01/07/2021
225,COL,Colombia2,Q4,2013,"3,812",2013-Q4,01/10/2013
226,COL,Colombia2,Q4,2014,"3,760",2014-Q4,01/10/2014
227,COL,Colombia2,Q4,2015,"2,107",2015-Q4,01/10/2015
228,COL,Colombia2,Q4,2016,"3,276",2016-Q4,01/10/2016
229,COL,Colombia2,Q4,2017,"3,793",2017-Q4,01/10/2017
230,COL,Colombia2,Q4,2018,"2,839",2018-Q4,01/10/2018
231,COL,Colombia2,Q4,2019,"3,342",2019-Q4,01/10/2019
232,COL,Colombia2,Q4,2020,"2,069",2020-Q4,01/10/2020
233,COL,Colombia2,Q4,2021,"2,584",2021-Q4,01/10/2021
234,CRI,Costa Rica,Q1,2022,921,2022-Q1,01/01/2022
235,CRI,Costa Rica,Q1,2013,959,2013-Q1,01/01/2013
236,CRI,Costa Rica,Q1,2014,883,2014-Q1,01/01/2014
237,CRI,Costa Rica,Q1,2015,731,2015-Q1,01/01/2015
238,CRI,Costa Rica,Q1,2016,516,2016-Q1,01/01/2016
239,CRI,Costa Rica,Q1,2017,878,2017-Q1,01/01/2017
240,CRI,Costa Rica,Q1,2018,355,2018-Q1,01/01/2018
241,CRI,Costa Rica,Q1,2019,705,2019-Q1,01/01/2019
242,CRI,Costa Rica,Q1,2020,585,2020-Q1,01/01/2020
243,CRI,Costa Rica,Q1,2021,774,2021-Q1,01/01/2021
244,CRI,Costa Rica,Q2,2022,693,2022-Q2,01/04/2022
245,CRI,Costa Rica,Q2,2013,411,2013-Q2,01/04/2013
246,CRI,Costa Rica,Q2,2014,540,2014-Q2,01/04/2014
247,CRI,Costa Rica,Q2,2015,639,2015-Q2,01/04/2015
248,CRI,Costa Rica,Q2,2016,572,2016-Q2,01/04/2016
249,CRI,Costa Rica,Q2,2017,776,2017-Q2,01/04/2017
250,CRI,Costa Rica,Q2,2018,280,2018-Q2,01/04/2018
251,CRI,Costa Rica,Q2,2019,407,2019-Q2,01/04/2019
252,CRI,Costa Rica,Q2,2020,195,2020-Q2,01/04/2020
253,CRI,Costa Rica,Q2,2021,857,2021-Q2,01/04/2021
254,CRI,Costa Rica,Q3,2013,458,2013-Q3,01/07/2013
255,CRI,Costa Rica,Q3,2014,688,2014-Q3,01/07/2014
256,CRI,Costa Rica,Q3,2015,647,2015-Q3,01/07/2015
257,CRI,Costa Rica,Q3,2016,430,2016-Q3,01/07/2016
258,CRI,Costa Rica,Q3,2017,545,2017-Q3,01/07/2017
259,CRI,Costa Rica,Q3,2018,602,2018-Q3,01/07/2018
260,CRI,Costa Rica,Q3,2019,542,2019-Q3,01/07/2019
261,CRI,Costa Rica,Q3,2020,313,2020-Q3,01/07/2020
262,CRI,Costa Rica,Q3,2021,"1,087",2021-Q3,01/07/2021
263,CRI,Costa Rica,Q4,2013,913,2013-Q4,01/10/2013
264,CRI,Costa Rica,Q4,2014,815,2014-Q4,01/10/2014
265,CRI,Costa Rica,Q4,2015,734,2015-Q4,01/10/2015
266,CRI,Costa Rica,Q4,2016,686,2016-Q4,01/10/2016
267,CRI,Costa Rica,Q4,2017,580,2017-Q4,01/10/2017
268,CRI,Costa Rica,Q4,2018,"1,250",2018-Q4,01/10/2018
269,CRI,Costa Rica,Q4,2019,"1,159",2019-Q4,01/10/2019
270,CRI,Costa Rica,Q4,2020,664,2020-Q4,01/10/2020
271,CRI,Costa Rica,Q4,2021,607,2021-Q4,01/10/2021
272,CZE,Czech Republic,Q1,2022,642,2022-Q1,01/01/2022
273,CZE,Czech Republic,Q1,2013,910,2013-Q1,01/01/2013
274,CZE,Czech Republic,Q1,2014,"1,062",2014-Q1,01/01/2014
275,CZE,Czech Republic,Q1,2015,498,2015-Q1,01/01/2015
276,CZE,Czech Republic,Q1,2016,"1,108",2016-Q1,01/01/2016
277,CZE,Czech Republic,Q1,2017,"3,146",2017-Q1,01/01/2017
278,CZE,Czech Republic,Q1,2018,"1,192",2018-Q1,01/01/2018
279,CZE,Czech Republic,Q1,2019,"1,802",2019-Q1,01/01/2019
280,CZE,Czech Republic,Q1,2020,"1,854",2020-Q1,01/01/2020
281,CZE,Czech Republic,Q1,2021,-831,2021-Q1,01/01/2021
282,CZE,Czech Republic,Q2,2022,"2,371",2022-Q2,01/04/2022
283,CZE,Czech Republic,Q2,2013,910,2013-Q2,01/04/2013
284,CZE,Czech Republic,Q2,2014,"2,064",2014-Q2,01/04/2014
285,CZE,Czech Republic,Q2,2015,555,2015-Q2,01/04/2015
286,CZE,Czech Republic,Q2,2016,"5,061",2016-Q2,01/04/2016
287,CZE,Czech Republic,Q2,2017,"2,119",2017-Q2,01/04/2017
288,CZE,Czech Republic,Q2,2018,"3,014",2018-Q2,01/04/2018
289,CZE,Czech Republic,Q2,2019,"3,709",2019-Q2,01/04/2019
290,CZE,Czech Republic,Q2,2020,"2,647",2020-Q2,01/04/2020
291,CZE,Czech Republic,Q2,2021,"3,203",2021-Q2,01/04/2021
292,CZE,Czech Republic,Q3,2013,910,2013-Q3,01/07/2013
293,CZE,Czech Republic,Q3,2014,"1,992",2014-Q3,01/07/2014
294,CZE,Czech Republic,Q3,2015,-299,2015-Q3,01/07/2015
295,CZE,Czech Republic,Q3,2016,"2,985",2016-Q3,01/07/2016
296,CZE,Czech Republic,Q3,2017,"1,871",2017-Q3,01/07/2017
297,CZE,Czech Republic,Q3,2018,"2,941",2018-Q3,01/07/2018
298,CZE,Czech Republic,Q3,2019,"2,904",2019-Q3,01/07/2019
299,CZE,Czech Republic,Q3,2020,468,2020-Q3,01/07/2020
300,CZE,Czech Republic,Q3,2021,"1,290",2021-Q3,01/07/2021
301,CZE,Czech Republic,Q4,2013,910,2013-Q4,01/10/2013
302,CZE,Czech Republic,Q4,2014,374,2014-Q4,01/10/2014
303,CZE,Czech Republic,Q4,2015,-289,2015-Q4,01/10/2015
304,CZE,Czech Republic,Q4,2016,660,2016-Q4,01/10/2016
305,CZE,Czech Republic,Q4,2017,"2,382",2017-Q4,01/10/2017
306,CZE,Czech Republic,Q4,2018,"2,330",2018-Q4,01/10/2018
307,CZE,Czech Republic,Q4,2019,"1,694",2019-Q4,01/10/2019
308,CZE,Czech Republic,Q4,2020,"4,441",2020-Q4,01/10/2020
309,CZE,Czech Republic,Q4,2021,"2,142",2021-Q4,01/10/2021
310,DNK,Denmark*,Q1,2022,138,2022-Q1,01/01/2022
311,DNK,Denmark*,Q1,2013,611,2013-Q1,01/01/2013
312,DNK,Denmark*,Q1,2014,-541,2014-Q1,01/01/2014
313,DNK,Denmark*,Q1,2015,"-1,127",2015-Q1,01/01/2015
314,DNK,Denmark*,Q1,2016,180,2016-Q1,01/01/2016
315,DNK,Denmark*,Q1,2017,"-2,988",2017-Q1,01/01/2017
316,DNK,Denmark*,Q1,2018,"2,512",2018-Q1,01/01/2018
317,DNK,Denmark*,Q1,2019,"5,960",2019-Q1,01/01/2019
318,DNK,Denmark*,Q1,2021,-746,2021-Q1,01/01/2021
319,DNK,Denmark*,Q2,2022,973,2022-Q2,01/04/2022
320,DNK,Denmark*,Q2,2013,-789,2013-Q2,01/04/2013
321,DNK,Denmark*,Q2,2014,"-1,174",2014-Q2,01/04/2014
322,DNK,Denmark*,Q2,2015,"2,752",2015-Q2,01/04/2015
323,DNK,Denmark*,Q2,2016,-192,2016-Q2,01/04/2016
324,DNK,Denmark*,Q2,2017,-863,2017-Q2,01/04/2017
325,DNK,Denmark*,Q2,2018,-659,2018-Q2,01/04/2018
326,DNK,Denmark*,Q2,2019,"-1,911",2019-Q2,01/04/2019
327,DNK,Denmark*,Q2,2021,"3,335",2021-Q2,01/04/2021
328,DNK,Denmark*,Q3,2013,-887,2013-Q3,01/07/2013
329,DNK,Denmark*,Q3,2014,"5,631",2014-Q3,01/07/2014
330,DNK,Denmark*,Q3,2015,880,2015-Q3,01/07/2015
331,DNK,Denmark*,Q3,2016,-644,2016-Q3,01/07/2016
332,DNK,Denmark*,Q3,2017,"8,251",2017-Q3,01/07/2017
333,DNK,Denmark*,Q3,2018,90,2018-Q3,01/07/2018
334,DNK,Denmark*,Q3,2019,"3,323",2019-Q3,01/07/2019
335,DNK,Denmark*,Q3,2020,"1,938",2020-Q3,01/07/2020
336,DNK,Denmark*,Q3,2021,-230,2021-Q3,01/07/2021
337,DNK,Denmark*,Q4,2013,"2,110",2013-Q4,01/10/2013
338,DNK,Denmark*,Q4,2014,765,2014-Q4,01/10/2014
339,DNK,Denmark*,Q4,2015,"1,112",2015-Q4,01/10/2015
340,DNK,Denmark*,Q4,2016,891,2016-Q4,01/10/2016
341,DNK,Denmark*,Q4,2017,-629,2017-Q4,01/10/2017
342,DNK,Denmark*,Q4,2018,-227,2018-Q4,01/10/2018
343,DNK,Denmark*,Q4,2019,-299,2019-Q4,01/10/2019
344,DNK,Denmark*,Q4,2020,-957,2020-Q4,01/10/2020
345,DNK,Denmark*,Q4,2021,"2,323",2021-Q4,01/10/2021
346,EST,Estonia,Q1,2022,"2,159",2022-Q1,01/01/2022
347,EST,Estonia,Q1,2013,35,2013-Q1,01/01/2013
348,EST,Estonia,Q1,2014,257,2014-Q1,01/01/2014
349,EST,Estonia,Q1,2015,256,2015-Q1,01/01/2015
350,EST,Estonia,Q1,2016,255,2016-Q1,01/01/2016
351,EST,Estonia,Q1,2017,741,2017-Q1,01/01/2017
352,EST,Estonia,Q1,2018,41,2018-Q1,01/01/2018
353,EST,Estonia,Q1,2019,"1,977",2019-Q1,01/01/2019
354,EST,Estonia,Q1,2020,551,2020-Q1,01/01/2020
355,EST,Estonia,Q1,2021,"1,732",2021-Q1,01/01/2021
356,EST,Estonia,Q2,2022,"-2,347",2022-Q2,01/04/2022
357,EST,Estonia,Q2,2013,423,2013-Q2,01/04/2013
358,EST,Estonia,Q2,2014,195,2014-Q2,01/04/2014
359,EST,Estonia,Q2,2015,-485,2015-Q2,01/04/2015
360,EST,Estonia,Q2,2016,85,2016-Q2,01/04/2016
361,EST,Estonia,Q2,2017,304,2017-Q2,01/04/2017
362,EST,Estonia,Q2,2018,"1,085",2018-Q2,01/04/2018
363,EST,Estonia,Q2,2019,77,2019-Q2,01/04/2019
364,EST,Estonia,Q2,2020,420,2020-Q2,01/04/2020
365,EST,Estonia,Q2,2021,533,2021-Q2,01/04/2021
366,EST,Estonia,Q3,2013,323,2013-Q3,01/07/2013
367,EST,Estonia,Q3,2014,478,2014-Q3,01/07/2014
368,EST,Estonia,Q3,2015,496,2015-Q3,01/07/2015
369,EST,Estonia,Q3,2016,218,2016-Q3,01/07/2016
370,EST,Estonia,Q3,2017,604,2017-Q3,01/07/2017
371,EST,Estonia,Q3,2018,459,2018-Q3,01/07/2018
372,EST,Estonia,Q3,2019,703,2019-Q3,01/07/2019
373,EST,Estonia,Q3,2020,"1,312",2020-Q3,01/07/2020
374,EST,Estonia,Q3,2021,288,2021-Q3,01/07/2021
375,EST,Estonia,Q4,2013,-10,2013-Q4,01/10/2013
376,EST,Estonia,Q4,2014,-247,2014-Q4,01/10/2014
377,EST,Estonia,Q4,2015,-231,2015-Q4,01/10/2015
378,EST,Estonia,Q4,2016,501,2016-Q4,01/10/2016
379,EST,Estonia,Q4,2017,298,2017-Q4,01/10/2017
380,EST,Estonia,Q4,2018,-69,2018-Q4,01/10/2018
381,EST,Estonia,Q4,2019,439,2019-Q4,01/10/2019
382,EST,Estonia,Q4,2020,"1,185",2020-Q4,01/10/2020
